,id,overall_sent,time_period_labour,time_period_conservatives
4668678,1180764330364674048,0,1,1
2586413,1176143378645487617,-2,1,1
2453758,1175766776594018309,-1,3,1
170288,1170924540614123520,-2,1,1
714045,1171712475739369473,-1,1,1
2365780,1175491278576017409,1,3,1
1390311,1172977010232168448,-2,1,1
465205,1171209443738095617,-1,1,1
1941289,1174286708650721281,0,1,1
1688428,1173693943567060992,1,2,1
2528056,1176040045989552128,-1,1,1
565872,1171392722273558528,1,1,1
3175869,1177320057879367680,-1,4,2
3367133,1177867445303988224,0,1,1
2598176,1176173762775064579,-2,1,1
2514066,1176018052565090304,-2,1,1
2442880,1175735702253965312,0,3,1
1014906,1172185106678726656,-2,1,1
2101238,1174695224456728576,1,3,1
4086485,1179475977568751616,0,1,1
2462594,1175800720341250049,1,3,1
2379976,1175525139972276224,-2,3,1
2474588,1175839025678168070,-1,3,1
285737,1171034066700972032,0,1,1
564321,1171390958321246208,1,1,1
1538877,1173353752058847232,-2,2,1
4006950,1179358869979566080,-1,1,1
1396556,1172991920655781888,-2,1,1
2561919,1176090565076836352,-2,1,1
594726,1171433565814263808,1,1,1
2418026,1175693193184260096,-1,3,1
2367258,1175495125897814020,1,3,1
2345613,1175423948340846592,0,3,1
2214652,1174991669978107904,0,3,1
2481182,1175858202224877569,-3,3,1
2311719,1175327722517741568,-2,3,1
2481022,1175857710673354758,-1,3,1
4641463,1180661920241782785,-1,1,1
4676094,1180774001649553409,-1,1,1
2613656,1176199083993837568,0,1,1
2279082,1175168752364785664,-1,3,1
1453485,1173181341703258112,1,2,1
2897618,1176773655247896576,0,4,2
3908832,1179087823594491904,-3,1,3
3477934,1178069757603516421,0,1,1
398199,1171137763065892869,-2,1,1
762207,1171794487049408512,0,1,1
4642497,1180677637276082176,-1,1,1
2013996,1174434982204452866,-2,1,1
2968875,1176910149442768896,0,4,2
1971397,1174348176045871108,0,1,1
3364382,1177864109871763456,0,1,1
1071434,1172259824408629261,3,1,1
1777123,1173918790503059459,-2,2,1
2646200,1176261806291128321,-1,1,1
604459,1171449237734707202,-2,1,1
2626972,1176219791444578306,0,1,1
779735,1171827671820582914,0,1,1
2339421,1175396088209170432,-1,3,1
4709375,1180825670831792128,0,1,1
2623706,1176214716454244354,1,1,1
3968459,1179276376207187968,-1,1,1
2641971,1176245883681288193,1,1,1
393419,1171133368634957825,-2,1,1
2013954,1174434903007666176,1,1,1
2850727,1176635159136874497,-1,4,1
849272,1171908647217172481,2,1,1
1600434,1173546933480284161,-2,2,1
4105442,1179500255605334017,2,1,1
4047311,1179423610022354949,0,1,1
1200354,1172542196404359173,-1,1,1
791496,1171846721606959109,1,1,1
1421372,1173125915955666944,0,2,1
4645364,1180712322173673472,-1,1,1
2280655,1175173707515478016,0,3,1
2217495,1174997483463815168,-1,3,1
3918063,1179106078291890176,-1,1,3
2509917,1176006970098311168,-1,1,1
1082371,1172273472862662658,-2,1,1
2661011,1176364803088158720,-1,4,1
1257186,1172647996774764546,1,1,1
626347,1171491056325513219,0,1,1
3960622,1179224815128981505,0,1,1
2647452,1176264788147654659,0,1,1
3362857,1177861873519210496,-3,1,1
850390,1171909757323677698,-2,1,1
2925577,1176815207177510912,0,4,2
1226100,1172589829189701632,-1,1,1
2482330,1175861692825251840,-2,3,1
2681625,1176406022925123585,0,4,1
3972771,1179285522918907904,-1,1,1
2774231,1176525203750424577,-1,4,1
1628373,1173596009974378497,-1,2,1
897775,1172043302146850816,0,1,1
1946365,1174294188617273344,-1,1,1
3069172,1177131901112475649,-1,4,2
1057029,1172242204401831937,0,1,1
2957587,1176883389774946307,-2,4,2
2821955,1176592023089844224,-1,4,1
1946163,1174293833372393472,1,1,1
1268945,1172729452348022784,0,1,1
2600470,1176178007217754112,0,1,1
2608808,1176191734721732608,-1,1,1
717427,1171716459824865281,0,1,1
2318418,1175340190178664449,-3,3,1
1886852,1174217635116044288,-1,1,1
2621608,1176211428409303040,-1,1,1
2416988,1175691661697064961,0,3,1
2368035,1175497080627957761,1,3,1
1440022,1173158672454864896,-2,2,1
1540579,1173357422351716352,-1,2,1
2274873,1175156320980353029,0,3,1
3945890,1179156817684893701,-1,1,3
2641921,1176245803050045441,2,1,1
1892605,1174223763153534977,-1,1,1
624880,1171486941470052357,-1,1,1
2376782,1175517604993126400,1,3,1
2919714,1176802535644041217,0,4,2
1431273,1173144823836098560,-2,2,1
4732139,1180878270327349248,0,1,1
419472,1171158143512010759,-1,1,1
2670408,1176388329123778561,1,4,1
2616396,1176203216930975745,-2,1,1
2880787,1176754662604791808,-1,4,2
3529338,1178229361155162112,-1,1,3
590903,1171425700043083777,1,1,1
2446497,1175746756337971200,1,3,1
2670725,1176388862307983360,0,4,1
875592,1172004865750503429,2,1,1
3066125,1177128066478481410,-2,4,2
3507203,1178198834079502336,0,1,3
3976926,1179301113822097408,1,1,1
3068903,1177131572899848193,-1,4,2
1949444,1174299177377042434,-3,1,1
1527192,1173331815194664960,-2,2,1
4431052,1180119880319864832,0,1,4
1394990,1172987842529808385,-2,1,1
2460488,1175794318566723584,-3,3,1
561559,1171388169666932736,1,1,1
899217,1172044681661820928,-1,1,1
1362149,1172912454545879040,0,1,1
3346232,1177831331553841152,0,1,1
2201124,1174964766084722688,0,3,1
1876287,1174200540118618113,-1,1,1
1831918,1174041348892176385,0,2,1
3767881,1178750239500578816,-1,1,3
670289,1171643245241262087,-1,1,1
898066,1172043570397794309,0,1,1
2518689,1176025424708718592,2,1,1
1904673,1174239810074157057,0,1,1
1393670,1172985119226966018,-2,1,1
1705354,1173717300035407873,0,2,1
3945851,1179156746927034368,0,1,3
2214557,1174991477384126464,0,3,1
182651,1170948455025577984,-2,1,1
4244146,1179761823727411200,-3,1,4
1247631,1172626434520735744,-1,1,1
2578208,1176123320988835842,0,1,1
1589400,1173527902824128513,0,2,1
1973175,1174352227437178880,1,1,1
3510804,1178204523761995781,0,1,3
4654213,1180743844284907520,-1,1,1
3924052,1179118669617680384,-1,1,3
2452763,1175763945132625920,2,3,1
2264550,1175127155556147200,0,3,1
2031404,1174520084729159680,-1,3,1
1778950,1173922393800216576,1,2,1
1391722,1172980585507295232,-2,1,1
1402482,1173005252293005312,0,1,1
562319,1171388897147801601,1,1,1
719723,1171719240921092096,-1,1,1
2640506,1176243347440246784,0,1,1
